Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "allowance(address,address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
approveAndCall(address,uint256,bytes) returns(bool)
giveBlockReward() returns()
allowance(address,address) returns(uint256)
name() returns(string)
symbol() returns(string)
balanceOf(address) returns(uint256)
decimals() returns(uint8)
totalSupply() returns(uint256)
"""
