Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOf(address,uint256) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
uri(uint256) returns(string)
balanceOf(address,uint256) returns(uint256)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
safeTransferFrom(address,address,uint256,uint256,bytes) returns()
constructor(string) returns()
mint(address,uint256,uint256) returns()
mintToMultiple(address[],uint256[],uint256[]) returns()
burn(address,uint256,uint256) returns()
"""
