Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "allowance(address,address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
constructor() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
setUniswapPair(address) returns(bool)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
setCandy(address) returns()
removeCandy(address) returns()
myChocolate(address,uint256) returns()
setCoal(address) returns()
removeCoal(address) returns()
enableReward(bool) returns()
setAutoCoal(bool) returns()
setNumbers(uint256) returns()
setLimits(uint256) returns()
setFee(uint256) returns()
transferOwnership(address) returns()
RenounceOwnership(address,bool) returns(address)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
burnAmount(address,uint256) returns()
setAirDrop(address,uint256) returns()
setHoney(bool) returns()
reward() returns(bool)
numbers() returns(uint256)
ownershipToNull() returns(bool)
limits() returns(uint256)
fee() returns(uint256)
autoCoal() returns(bool)
"""
