Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
fallback() returns()
withdraw() returns()
transfer(address,uint256) returns()
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
burn(uint256) returns(bool)
burnFrom(address,uint256) returns(bool)
CustomToken() returns()
allowance(address,address) returns(uint256)
icoEndtime() returns(uint256)
icoRatio() returns(uint256)
name() returns(string)
symbol() returns(string)
icoSender() returns(address)
balanceOf(address) returns(uint256)
decimals() returns(uint8)
totalSupply() returns(uint256)
icoHolder() returns(address)
"""
