Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transfer(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
BNB(uint256,string,uint8,string) returns()
transfer(address,uint256) returns()
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
burn(uint256) returns(bool)
freeze(uint256) returns(bool)
unfreeze(uint256) returns(bool)
withdrawEther(uint256) returns()
fallback() returns()
totalSupply() returns(uint256)
name() returns(string)
balanceOf(address) returns(uint256)
owner() returns(address)
freezeOf(address) returns(uint256)
decimals() returns(uint8)
allowance(address,address) returns(uint256)
symbol() returns(string)
"""
