Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
MyToken(uint256,string,uint8,string) returns()
transfer(address,uint256) returns()
approve(address,uint256) returns(bool)
approveAndCall(address,uint256,bytes) returns(bool)
transferFrom(address,address,uint256) returns(bool)
fallback() returns()
balanceOf(address) returns(uint256)
totalSupply() returns(uint256)
name() returns(string)
standard() returns(string)
symbol() returns(string)
allowance(address,address) returns(uint256)
decimals() returns(uint8)
"""
