Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
halt() returns()
unHalt() returns()
transferOwnership(address) returns()
constructor() returns()
addAllowedAddress(address,bool) returns()
setCurrencyPricesContractAddress(address) returns()
fallback() returns()
sendToken(address,uint256) returns()
cancelOrder(address) returns()
updateTxStatus(address,uint256) returns()
transfer(address,uint256) returns(bool)
mint(address,uint256) returns(bool)
burn(address,uint256) returns(bool)
getPurchaseRecord(address) returns(address,uint256,address)
getTxStatus(address) returns(uint256)
getCurrencyPrice(address) returns(uint256)
setEZOTokenPriceUSD(uint256) returns()
balanceOf(address) returns(uint256)
totalSupply() returns(uint256)
name() returns(string)
halted() returns(bool)
allowedAddresses(address) returns(bool)
owner() returns(address)
isEZOToken() returns(bool)
decimals() returns(uint256)
currencyPricesContract() returns(address)
ezoTokenPriceUSD() returns(uint256)
symbol() returns(string)
"""
