Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transferFrom(address,address,uint256) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
supportsInterface(bytes4) returns(bool)
constructor(string,string) returns()
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
"""
