Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "totalSupply() returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
pause() returns()
unpause() returns()
renounceOwnership() returns()
transferOwnership(address) returns()
burn(uint256) returns()
totalSupply() returns(uint256)
transfer(address,uint256) returns(bool)
balanceOf(address) returns(uint256)
upgrade(uint256) returns()
setUpgradeAgent(address) returns()
getUpgradeState() returns(UpgradeableToken.UpgradeState)
setUpgradeMaster(address) returns()
canUpgrade() returns(bool)
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
increaseApproval(address,uint256) returns(bool)
decreaseApproval(address,uint256) returns(bool)
constructor(string,string,uint8,uint256) returns()
setSale(address) returns()
setFreeze(bool) returns()
thaw() returns()
owner() returns(address)
upgradeMaster() returns(address)
frozen() returns(bool)
sale() returns(address)
name() returns(string)
totalUpgraded() returns(uint256)
paused() returns(bool)
symbol() returns(string)
upgradeAgent() returns(UpgradeAgent)
freeze() returns(bool)
decimals() returns(uint8)
"""
