Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
balanceOf(address) returns(uint256)
approve(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
BAToken(address,address,uint256,uint256) returns()
createTokens() returns()
finalize() returns()
refund() returns()
version() returns(string)
fundingEndBlock() returns(uint256)
tokenCreationCap() returns(uint256)
tokenCreationMin() returns(uint256)
name() returns(string)
symbol() returns(string)
decimals() returns(uint256)
isFinalized() returns(bool)
totalSupply() returns(uint256)
ethFundDeposit() returns(address)
fundingStartBlock() returns(uint256)
tokenExchangeRate() returns(uint256)
batFundDeposit() returns(address)
batFund() returns(uint256)
"""
