Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transferFrom(address,address,uint256) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
supportsInterface(bytes4) returns(bool)
name() returns(string)
symbol() returns(string)
balanceOf(address) returns(uint256)
ownerOfWallet(uint256) returns(address)
ownerOf(uint256) returns(address)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
SetInfo(string,string) returns()
SetMaxSupply(uint256) returns()
SetBaseURI(string) returns()
SetTokenURI(uint256,string) returns()
SetCreator(address) returns()
SetPause() returns()
SetUnpause() returns()
SetLimited() returns()
SetUnLimited() returns()
getCreator() returns(address)
baseURI() returns(string)
supply() returns(uint256)
paused() returns(bool)
limited() returns(bool)
maxSupply() returns(uint256)
walletOfOwner(address) returns(uint256[])
Mint() returns()
MintUrl(string) returns()
SafeMint(address) returns(uint256)
Recovery() returns()
Burn(uint256) returns()
"""
