Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
TokenERC20(uint256,string,string) returns()
transfer(address,uint256) returns()
ban(address) returns()
enable(address) returns()
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
approveAndCall(address,uint256,bytes) returns(bool)
burn(uint256) returns(bool)
burnFrom(address,uint256) returns(bool)
totalSupply() returns(uint256)
name() returns(string)
balanceOf(address) returns(uint256)
blacklist(address) returns(bool)
decimals() returns(uint8)
allowance(address,address) returns(uint256)
symbol() returns(string)
"""
