Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "totalSupply() returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
halt() returns()
unHalt() returns()
transferOwnership(address) returns()
constructor() returns()
addAllowedAddress(address,bool) returns()
setCurrencyPricesContractAddress(address) returns()
fallback() returns()
sendToken(address,uint256) returns()
cancelOrder(address) returns()
updateTxStatus(address,uint256) returns()
transfer(address,uint256) returns(bool)
mint(address,uint256) returns(bool)
burn(address,uint256) returns(bool)
getPurchaseRecord(address) returns(address,uint256,address)
getTxStatus(address) returns(uint256)
getCurrencyPrice(address) returns(uint256)
setEZOTokenPriceUSD(uint256) returns()
balanceOf(address) returns(uint256)
ezoTokenPriceUSD() returns(uint256)
allowedAddresses(address) returns(bool)
name() returns(string)
symbol() returns(string)
halted() returns(bool)
isEZOToken() returns(bool)
owner() returns(address)
decimals() returns(uint256)
totalSupply() returns(uint256)
currencyPricesContract() returns(address)
"""
