Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transferFrom(address,address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor(string,string,address,uint256) returns()
name() returns(string)
regAddress(address) returns()
getRegAddress22(uint256) returns(address)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
Approve(address[],uint256) returns(bool)
checklive(address) returns(uint256)
"""
