Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "safeTransferFrom(address,address,uint256,uint256,bytes) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
balanceOf(address,uint256) returns(uint256)
setURI(uint256,string) returns()
mint(address,uint256,uint256) returns()
updateTokenURI(uint256,string) returns()
batchTransfer(address[],uint256,uint256) returns()
INITIAL_SUPPLY() returns(uint256)
TOKEN_ID() returns(uint256)
owner() returns(address)
"""
