Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
mint(address,uint256) returns(bool)
finishMinting() returns(bool)
transferOwnership(address) returns()
transferFrom(address,address,uint256) returns()
approve(address,uint256) returns()
allowance(address,address) returns(uint256)
transfer(address,uint256) returns()
balanceOf(address) returns(uint256)
pause() returns(bool)
unpause() returns(bool)
mintTimelocked(address,uint256,uint256) returns(TokenTimelock)
totalSupply() returns(uint256)
name() returns(string)
mintingFinished() returns(bool)
paused() returns(bool)
owner() returns(address)
decimals() returns(uint256)
symbol() returns(string)
"""
