Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "safeTransferFrom(address,address,uint256,bytes) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
royaltyInfo(uint256,uint256) returns(address,uint256)
constructor(string,string) returns()
setRoyaltyBasisPoints(uint256) returns()
setRoyaltyRecipient(address) returns()
safeMint(address,uint256,string) returns()
setContractURI(string) returns()
contractURI() returns(string)
"""
