Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOf(address,uint256) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
balanceOf(address,uint256) returns(uint256)
setURI(uint256,string) returns()
setBatchURI(address[],string) returns()
mint(address,uint256,uint256) returns()
airdropBatch(address[]) returns()
updateTokenURI(uint256,string) returns()
getTokenURI(uint256) returns(string)
batchTransfer(address[]) returns()
INITIAL_SUPPLY() returns(uint256)
TOKEN_ID() returns(uint256)
owner() returns(address)
"""
