Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "setApprovalForAll(address,bool) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
uri(uint256) returns(string)
balanceOf(address,uint256) returns(uint256)
balanceOfBatch(address[],uint256[]) returns(uint256[])
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
safeTransferFrom(address,address,uint256,uint256,bytes) returns()
safeBatchTransferFrom(address,address,uint256[],uint256[],bytes) returns()
constructor(string) returns()
setBaseTokenURI(string) returns()
airdrop(address[]) returns()
ARTWORK() returns(uint256)
name() returns(string)
symbol() returns(string)
"""
