Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "totalSupply() returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
transferFrom(address,address,uint256) returns(bool)
transfer(address,uint256) returns(bool)
balanceOf(address) returns(uint256)
approve(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
HBToken() returns()
name() returns(string)
decimals() returns(uint8)
symbol() returns(string)
totalSupply() returns(uint256)
"""
