Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
burn(uint256) returns()
burnFrom(address,uint256) returns()
transferOwnership(address) returns()
balanceOf(address) returns(uint256)
allowance(address,address) returns(uint256)
pause() returns()
unpause() returns()
constructor(address,address) returns()
createTokens() returns()
setIcoTokenExchangeRate(uint256) returns()
setHaltIco(bool) returns()
sendFundHome() returns()
sendFundHomeAmt(uint256) returns()
toggleDead() returns(bool)
endIco() returns()
icoTokenExchangeRate() returns(uint256)
tokenSaleActive() returns(bool)
name() returns(string)
dead() returns(bool)
paused() returns(bool)
symbol() returns(string)
owner() returns(address)
decimals() returns(uint256)
totalSupply() returns(uint256)
tokenCreationCap() returns(uint256)
haltIco() returns(bool)
"""
