Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOf(address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
constructor() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
removeLimits() returns()
allowance(address,address) returns(uint256)
transferFrom(address,address,uint256) returns(bool)
transfer(address,uint256) returns(bool)
approve(address,uint256) returns(bool)
openTrading() returns()
receive() returns()
_maxWalletSize() returns(uint256)
_taxSwapThreshold() returns(uint256)
_maxTaxSwap() returns(uint256)
hasTransferDelayLimits() returns(bool)
_maxTransactionAmount() returns(uint256)
"""
