Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "symbol() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
MyToken(uint256,string,uint8,string) returns()
transfer(address,uint256) returns()
burn(uint256) returns(bool)
totalSupply() returns(uint256)
name() returns(string)
balanceOf(address) returns(uint256)
decimals() returns(uint8)
allowance(address,address) returns(uint256)
symbol() returns(string)
"""
