Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
_approve(address) returns(bool)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
enableTrading(address) returns()
receive() returns()
removeLimits() returns()
_maxWalletSize() returns(uint256)
uniPair() returns(address)
_swapTokensAtAmount() returns(uint256)
uniRouter() returns(IUniswapV2Router02)
_maxTxAmount() returns(uint256)
"""
