Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "safeTransferFrom(address,address,uint256) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
tokenURI(uint256) returns(string)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
mintNFT(address,string,string,string) returns(uint256)
burnNFT(uint256) returns(uint256)
transferNFT(address,uint256) returns()
"""
