Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
TransferOwnershipForever(address) returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
transferFrom(address,address,uint256) returns(bool)
constructor() returns()
"""
