Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(address) returns()
mint(uint256) returns()
mintTo(uint256,address) returns()
totalSupply() returns(uint256)
setSaleIsActive(bool,uint256) returns()
setBaseURI(string) returns()
withdraw() returns()
MAX_MULTIMINT() returns(uint256)
price() returns(uint256)
tournamentHub() returns(ITournamentHub)
MAX_SUPPLY() returns(uint256)
saleIsActive() returns(bool)
"""
